race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,event_race,year
67218,1,MIHALIK Norbert,16H 34M 47S,39,M,HUN,59687,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2021-08-07,06:00:00,solo,165.2,3130,-3170,13,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2021
67422,1,MCDOWELL Richard,13H 43M 42S,42,M,GBR,49422,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2021-05-08,09:00:00,solo,161.3,3210,-3160,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2021
59805,1,TOLLEFSON Tim,13H 28M 4S,36,M,USA,48484,Javelina Jundred,100 Miles,FortMcDowell,United States,2020-10-31,06:00:00,solo,160.5,1720,-1720,26,800,Javelina Jundred_100 Miles,2020
62021,1,LANDAUER Robert,17H 48M 10S,37,M,USA,64090,Cactus Rose,100 Mile,Bandera,United States,2020-10-24,05:00:00,solo,162.4,3500,-3500,20,550,Cactus Rose_100 Mile,2020
56693,1,INNOCENTI Mark,14H 44M 21S,39,M,GBR,53061,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2020-10-10,09:00:00,solo,161.5,2060,-2060,16,250,Centurion Autumn 100_Centurion Autumn 100,2020
49589,1,RABE Magnus,14H 47M 42S,38,M,SWE,53262,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2020-10-08,10:00:00,solo,160.7,1610,-1610,13,180,Täby Extreme Challenge_TEC 100 Miles,2020
49901,1,ARNOLD Russell,14H 13M 40S,35,M,GBR,51220,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2020-09-05,09:00:00,solo,161.3,3160,-3110,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2020
58623,1,LEWIS Harvey,17H 48M 43S,45,M,USA,64123,Burning River Endurance Run,100 Mile,Hudson,United States,2020-08-22,04:00:00,solo,163.6,2700,-2700,14,250,Burning River Endurance Run_100 Mile,2020
51393,1,KIRK Juhana,19H 33M 27S,37,M,FIN,70407,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2020-08-08,06:00:00,solo,168.2,3440,-3480,14,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2020
51777,1,WAGNER Thomas,22H 9M 32S,42,M,AUT,79772,Chiemgauer 100,100 Mile,Bergen,Germany,2020-07-31,13:00:00,Solo,0,0,-0,9,150,Chiemgauer 100_100 Mile,2020
50523,1,RONEK Bruce,19H 45M 36S,29,M,USA,71136,Bryce Canyon,100 Mile,Hatch,United States,2020-05-15,00:00:00,solo,157.1,4320,-4320,13,300,Bryce Canyon_100 Mile,2020
60007,1,FUCHS TREVOR,22H 4M 49S,40,M,USA,79489,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2020-01-18,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2020
54821,1,LEWIS Michael,23H 1M 18S,44,M,USA,82878,Cactus Rose,100 Mile,Bandera,United States,2019-10-27,05:00:00,solo,162.4,3500,-3500,20,0,Cactus Rose_100 Mile,2019
43385,1,REAGAN Patrick,13H 11M 48S,35,M,USA,47508,Javelina Jundred,100 Miles,FortMcDowell,United States,2019-10-26,06:00:00,solo,160.5,1720,-1720,26,799,Javelina Jundred_100 Miles,2019
40741,1,WESTERLIN Henrik,14H 2M 19S,46,M,DEN,50539,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2019-10-12,09:00:00,solo,161.5,2060,-2060,14,250,Centurion Autumn 100_Centurion Autumn 100,2019
40737,1,Darbyshire Mark,15H 18M 41S,42,M,GBR,55121,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2019-08-03,06:00:00,solo,168,3420,-3460,14,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2019
41117,1,PROBST Florian,22H 49M 16S,40,M,GER,82156,Chiemgauer 100,100 Mile,Bergen,Germany,2019-08-02,14:00:00,Solo,0,0,-0,9,150,Chiemgauer 100_100 Mile,2019
40025,1,MILLER JOE,17H 25M 8S,33,M,USA,62708,Burning River Endurance Run,100 Mile,Hudson,United States,2019-07-27,04:00:00,solo,163.6,2700,-2700,14,250,Burning River Endurance Run_100 Mile,2019
40649,1,Jay Luke,19H 50M 43S,41,M,USA,71443,Bryce Canyon,100 Mile,Hatch,United States,2019-05-17,00:00:00,solo,157.1,4470,-4460,13,300,Bryce Canyon_100 Mile,2019
40649,1,JAY Luke,19H 50M 43S,41,M,USA,71443,Bryce Canyon,100 Mile,Hatch,United States,2019-05-17,00:00:00,solo,157.1,4470,-4460,13,300,Bryce Canyon_100 Mile,2019
35185,1,HAMMETT Ian,14H 36M 25S,43,M,GBR,52585,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2019-05-04,10:00:00,solo,161.3,3160,-3110,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2019
39055,1,POKORNY Sebastian,15H 13M 30S,35,M,SWE,54810,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2019-04-27,10:00:00,solo,160.7,1610,-1610,13,150,Täby Extreme Challenge_TEC 100 Miles,2019
43893,1,JAQUA Nate,22H 37M 54S,40,M,USA,81474,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2019-01-19,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2019
38839,1,LEWIS Michael,27H 54M 0S,45,M,USA,100440,Cactus Rose,100 Mile,Bandera,United States,2018-10-28,05:00:00,solo,162.4,3500,-3500,20,0,Cactus Rose_100 Mile,2018
32035,1,REAGAN Patrick,13H 42M 59S,35,M,USA,49379,Javelina Jundred,100 Miles,FortMcDowell,United States,2018-10-27,06:00:00,solo,160.2,2300,-2300,26,799,Javelina Jundred_100 Miles,2018
30411,1,WILLIAMS James,15H 18M 42S,34,M,GBR,55122,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2018-10-13,10:00:00,solo,161.1,1580,-1580,14,250,Centurion Autumn 100_Centurion Autumn 100,2018
25985,1,DICKINSON Matthew,17H 21M 22S,33,M,NZL,62482,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2018-08-04,06:00:00,solo,168,3420,-3460,14,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2018
27491,1,JEREMY Pope,17H 13M 8S,36,M,USA,61988,Burning River Endurance Run,100 Mile,Hudson,United States,2018-07-28,04:00:00,solo,164.4,2610,-2510,14,250,Burning River Endurance Run_100 Mile,2018
25599,1,WAGNER Thomas,21H 19M 44S,42,M,AUT,76784,Chiemgauer 100,100 Mile,Bergen,Germany,2018-07-27,14:00:00,Solo,0,0,-0,9,150,Chiemgauer 100_100 Mile,2018
28367,1,BLANKENSHIP Buck,19H 15M 2S,40,M,USA,69302,Bryce Canyon,100 Mile,Hatch,United States,2018-06-01,00:00:00,solo,158.1,4770,-4800,13,300,Bryce Canyon_100 Mile,2018
22655,1,WINDROSS Peter,15H 49M 25S,50,M,GBR,56965,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2018-05-05,10:00:00,solo,161.2,3210,-3160,13,300,Centurion Thames Path 100_Centurion Thames Path 100,2018
25257,1,Roos Henrik,17H 1M 38S,42,M,SWE,61298,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2018-04-21,10:00:00,solo,159.1,1640,-1640,13,150,Täby Extreme Challenge_TEC 100 Miles,2018
31669,1,Collins Avery,21H 44M 0S,29,M,USA,78240,HURT 100,HURT 100 MILE ENDURANCE RUN,NA,United States,2018-01-13,00:00:00,solo,161,8200,-8200,0,0,HURT 100_HURT 100 MILE ENDURANCE RUN,2018
16729,1,REAGAN Patrick,13H 1M 14S,35,M,USA,46874,Javelina Jundred,100 Miles,FortMcDowell,United States,2017-10-28,06:00:00,solo,159.4,1760,-1760,26,799,Javelina Jundred_100 Miles,2017
24933,1,JOE Schmal,18H 46M 33S,42,M,USA,67593,Cactus Rose,100 Mile,Bandera,United States,2017-10-21,00:00:00,solo,0,0,-0,20,0,Cactus Rose_100 Mile,2017
17291,1,MASKELL Paul,14H 34M 1S,43,M,GBR,52441,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2017-10-21,10:00:00,solo,161.8,2120,-2120,14,300,Centurion Autumn 100_Centurion Autumn 100,2017
15312,1,MIHALIK Norbert,16H 39M 31S,39,M,HUN,59971,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2017-08-05,06:00:00,solo,170.2,3490,-3520,14,300,Centurion North Downs Way 100_Centurion North Downs Way 100,2017
