year,state,type,value
2015,Alabama,colony_added,4940
2015,Alabama,colony_lost,4670
2015,Arizona,colony_added,30200
2015,Arizona,colony_lost,28100
2015,Arkansas,colony_added,15100
2015,Arkansas,colony_lost,14800
2015,California,colony_added,499000
2015,California,colony_lost,584000
2015,Colorado,colony_added,11000
2015,Colorado,colony_lost,10400
2015,Connecticut,colony_added,1620
2015,Connecticut,colony_lost,1210
2015,Florida,colony_added,165000
2015,Florida,colony_lost,150000
2015,Georgia,colony_added,95900
2015,Georgia,colony_lost,68500
2015,Hawaii,colony_added,8400
2015,Hawaii,colony_lost,3890
2015,Idaho,colony_added,30100
2015,Idaho,colony_lost,46200
2015,Illinois,colony_added,9600
2015,Illinois,colony_lost,6900
2015,Indiana,colony_added,6930
2015,Indiana,colony_lost,6100
2015,Iowa,colony_added,8880
2015,Iowa,colony_lost,11800
2015,Kansas,colony_added,3400
2015,Kansas,colony_lost,6670
2015,Kentucky,colony_added,4040
2015,Kentucky,colony_lost,7480
2015,Louisiana,colony_added,13000
2015,Louisiana,colony_lost,16700
2015,Maine,colony_added,4460
2015,Maine,colony_lost,4090
2015,Maryland,colony_added,4930
2015,Maryland,colony_lost,5150
2015,Massachusetts,colony_added,1520
2015,Massachusetts,colony_lost,2140
2015,Michigan,colony_added,24510
2015,Michigan,colony_lost,37000
2015,Minnesota,colony_added,21930
2015,Minnesota,colony_lost,58200
2015,Mississippi,colony_added,28260
2015,Mississippi,colony_lost,24500
2015,Missouri,colony_added,2850
2015,Missouri,colony_lost,4390
2015,Montana,colony_added,19600
2015,Montana,colony_lost,26900
2015,Nebraska,colony_added,16130
2015,Nebraska,colony_lost,19700
2015,New Jersey,colony_added,2880
2015,New Jersey,colony_lost,3380
2015,New Mexico,colony_added,3280
2015,New Mexico,colony_lost,3580
2015,New York,colony_added,16090
2015,New York,colony_lost,18100
2015,North Carolina,colony_added,14510
2015,North Carolina,colony_lost,13900
2015,North Dakota,colony_added,54500
2015,North Dakota,colony_lost,157620
2015,Ohio,colony_added,17500
2015,Ohio,colony_lost,16900
2015,Oklahoma,colony_added,8550
2015,Oklahoma,colony_lost,9080
2015,Oregon,colony_added,27000
2015,Oregon,colony_lost,29000
2015,Other States,colony_added,6160
2015,Other States,colony_lost,6550
2015,Pennsylvania,colony_added,11960
2015,Pennsylvania,colony_lost,12400
2015,South Carolina,colony_added,5320
2015,South Carolina,colony_lost,7850
2015,South Dakota,colony_added,40000
2015,South Dakota,colony_lost,87600
2015,Tennessee,colony_added,5170
2015,Tennessee,colony_lost,5030
2015,Texas,colony_added,176500
2015,Texas,colony_lost,100500
2015,United States,colony_added,1498980
2015,United States,colony_lost,1722360
2015,Utah,colony_added,14020
2015,Utah,colony_lost,16600
2015,Vermont,colony_added,1820
2015,Vermont,colony_lost,1780
2015,Virginia,colony_added,3420
2015,Virginia,colony_lost,3450
2015,Washington,colony_added,30630
2015,Washington,colony_lost,37000
2015,West Virginia,colony_added,3960
2015,West Virginia,colony_lost,3280
2015,Wisconsin,colony_added,14610
2015,Wisconsin,colony_lost,28100
2015,Wyoming,colony_added,9800
2015,Wyoming,colony_lost,9000
2016,Alabama,colony_added,2890
2016,Alabama,colony_lost,4440
2016,Arizona,colony_added,24000
2016,Arizona,colony_lost,20900
2016,Arkansas,colony_added,16990
2016,Arkansas,colony_lost,12400
2016,California,colony_added,488000
2016,California,colony_lost,605000
2016,Colorado,colony_added,12600
2016,Colorado,colony_lost,12800
2016,Connecticut,colony_added,1350
2016,Connecticut,colony_lost,640
2016,Florida,colony_added,172000
2016,Florida,colony_lost,140000
2016,Georgia,colony_added,70000
2016,Georgia,colony_lost,55000
2016,Hawaii,colony_added,1930
2016,Hawaii,colony_lost,2680
2016,Idaho,colony_added,31400
2016,Idaho,colony_lost,41000
2016,Illinois,colony_added,3520
2016,Illinois,colony_lost,3340
2016,Indiana,colony_added,3210
2016,Indiana,colony_lost,2790
2016,Iowa,colony_added,36590
2016,Iowa,colony_lost,11100
2016,Kansas,colony_added,3510
2016,Kansas,colony_lost,4860
2016,Kentucky,colony_added,3170
2016,Kentucky,colony_lost,3700
2016,Louisiana,colony_added,20350
2016,Louisiana,colony_lost,22800
2016,Maine,colony_added,750
2016,Maine,colony_lost,4620
2016,Maryland,colony_added,3260
2016,Maryland,colony_lost,2420
2016,Massachusetts,colony_added,1670
2016,Massachusetts,colony_lost,1200
2016,Michigan,colony_added,26810
2016,Michigan,colony_lost,40000
2016,Minnesota,colony_added,29700
2016,Minnesota,colony_lost,45000
2016,Mississippi,colony_added,21080
2016,Mississippi,colony_lost,15900
2016,Missouri,colony_added,4610
2016,Missouri,colony_lost,3210
2016,Montana,colony_added,43300
2016,Montana,colony_lost,35340
2016,Nebraska,colony_added,8620
2016,Nebraska,colony_lost,19130
2016,New Jersey,colony_added,2500
2016,New Jersey,colony_lost,3110
2016,New Mexico,colony_added,5810
2016,New Mexico,colony_lost,5800
2016,New York,colony_added,15780
2016,New York,colony_lost,27000
2016,North Carolina,colony_added,11700
2016,North Carolina,colony_lost,11000
2016,North Dakota,colony_added,61500
2016,North Dakota,colony_lost,142000
2016,Ohio,colony_added,7760
2016,Ohio,colony_lost,9600
2016,Oklahoma,colony_added,4210
2016,Oklahoma,colony_lost,6470
2016,Oregon,colony_added,27200
2016,Oregon,colony_lost,24100
2016,Other States,colony_added,5040
2016,Other States,colony_lost,4470
2016,Pennsylvania,colony_added,7520
2016,Pennsylvania,colony_lost,8600
2016,South Carolina,colony_added,6050
2016,South Carolina,colony_lost,6920
2016,South Dakota,colony_added,19230
2016,South Dakota,colony_lost,36770
2016,Tennessee,colony_added,4460
2016,Tennessee,colony_lost,4070
2016,Texas,colony_added,161700
2016,Texas,colony_lost,116000
2016,United States,colony_added,1457060
2016,United States,colony_lost,1658260
2016,Utah,colony_added,14350
2016,Utah,colony_lost,11300
2016,Vermont,colony_added,670
2016,Vermont,colony_lost,680
2016,Virginia,colony_added,3390
2016,Virginia,colony_lost,2870
2016,Washington,colony_added,35800
2016,Washington,colony_lost,33000
2016,West Virginia,colony_added,2810
2016,West Virginia,colony_lost,2180
2016,Wisconsin,colony_added,18920
2016,Wisconsin,colony_lost,27900
2016,Wyoming,colony_added,9350
2016,Wyoming,colony_lost,11800
2017,Alabama,colony_added,3010
2017,Alabama,colony_lost,3930
2017,Arizona,colony_added,21700
2017,Arizona,colony_lost,19200
2017,Arkansas,colony_added,12330
2017,Arkansas,colony_lost,18900
2017,California,colony_added,588000
2017,California,colony_lost,476000
2017,Colorado,colony_added,10000
2017,Colorado,colony_lost,15900
2017,Connecticut,colony_added,2540
2017,Connecticut,colony_lost,980
2017,Florida,colony_added,214000
2017,Florida,colony_lost,144000
2017,Georgia,colony_added,80300
2017,Georgia,colony_lost,61000
2017,Hawaii,colony_added,2430
2017,Hawaii,colony_lost,1480
2017,Idaho,colony_added,45000
2017,Idaho,colony_lost,39000
2017,Illinois,colony_added,7550
2017,Illinois,colony_lost,7000
2017,Indiana,colony_added,5440
2017,Indiana,colony_lost,5730
2017,Iowa,colony_added,26420
2017,Iowa,colony_lost,13700
2017,Kansas,colony_added,4970
2017,Kansas,colony_lost,3910
2017,Kentucky,colony_added,4350
2017,Kentucky,colony_lost,4330
2017,Louisiana,colony_added,30490
2017,Louisiana,colony_lost,21500
2017,Maine,colony_added,1320
2017,Maine,colony_lost,2370
2017,Maryland,colony_added,5290
2017,Maryland,colony_lost,5190
2017,Massachusetts,colony_added,2930
2017,Massachusetts,colony_lost,3490
2017,Michigan,colony_added,27890
2017,Michigan,colony_lost,38600
2017,Minnesota,colony_added,25600
2017,Minnesota,colony_lost,35500
2017,Mississippi,colony_added,29030
2017,Mississippi,colony_lost,12700
2017,Missouri,colony_added,2520
2017,Missouri,colony_lost,2860
2017,Montana,colony_added,26700
2017,Montana,colony_lost,35770
2017,Nebraska,colony_added,7080
2017,Nebraska,colony_lost,12590
2017,New Jersey,colony_added,2220
2017,New Jersey,colony_lost,2540
2017,New Mexico,colony_added,9400
2017,New Mexico,colony_lost,8200
2017,New York,colony_added,20440
2017,New York,colony_lost,17700
2017,North Carolina,colony_added,11760
2017,North Carolina,colony_lost,12400
2017,North Dakota,colony_added,54600
2017,North Dakota,colony_lost,85140
2017,Ohio,colony_added,10910
2017,Ohio,colony_lost,10100
2017,Oklahoma,colony_added,16120
2017,Oklahoma,colony_lost,1360
2017,Oregon,colony_added,33070
2017,Oregon,colony_lost,36500
2017,Other States,colony_added,1530
2017,Other States,colony_lost,3120
2017,Pennsylvania,colony_added,16310
2017,Pennsylvania,colony_lost,11710
2017,South Carolina,colony_added,8540
2017,South Carolina,colony_lost,6170
2017,South Dakota,colony_added,17500
2017,South Dakota,colony_lost,25200
2017,Tennessee,colony_added,5130
2017,Tennessee,colony_lost,5700
2017,Texas,colony_added,215200
2017,Texas,colony_lost,88000
2017,United States,colony_added,1728590
2017,United States,colony_lost,1407200
2017,Utah,colony_added,23380
2017,Utah,colony_lost,13500
2017,Vermont,colony_added,920
2017,Vermont,colony_lost,820
2017,Virginia,colony_added,5730
2017,Virginia,colony_lost,4700
2017,Washington,colony_added,52900
2017,Washington,colony_lost,36500
2017,West Virginia,colony_added,4360
2017,West Virginia,colony_lost,3270
2017,Wisconsin,colony_added,19980
2017,Wisconsin,colony_lost,28300
2017,Wyoming,colony_added,11700
2017,Wyoming,colony_lost,13700
2018,Alabama,colony_added,4310
2018,Alabama,colony_lost,4160
2018,Arizona,colony_added,18210
2018,Arizona,colony_lost,21600
2018,Arkansas,colony_added,17250
2018,Arkansas,colony_lost,17300
2018,California,colony_added,525000
2018,California,colony_lost,533000
2018,Colorado,colony_added,12770
2018,Colorado,colony_lost,15700
2018,Connecticut,colony_added,640
2018,Connecticut,colony_lost,390
2018,Florida,colony_added,217000
2018,Florida,colony_lost,156000
2018,Georgia,colony_added,96500
2018,Georgia,colony_lost,77500
2018,Hawaii,colony_added,4900
2018,Hawaii,colony_lost,4620
2018,Idaho,colony_added,43500
2018,Idaho,colony_lost,55800
2018,Illinois,colony_added,7000
2018,Illinois,colony_lost,6560
2018,Indiana,colony_added,4860
2018,Indiana,colony_lost,7090
2018,Iowa,colony_added,17750
2018,Iowa,colony_lost,13400
2018,Kansas,colony_added,3020
2018,Kansas,colony_lost,3070
2018,Kentucky,colony_added,2280
2018,Kentucky,colony_lost,4890
2018,Louisiana,colony_added,12830
2018,Louisiana,colony_lost,9070
2018,Maine,colony_added,740
2018,Maine,colony_lost,3630
2018,Maryland,colony_added,3040
2018,Maryland,colony_lost,1420
2018,Massachusetts,colony_added,2110
2018,Massachusetts,colony_lost,4110
2018,Michigan,colony_added,35400
2018,Michigan,colony_lost,28000
2018,Minnesota,colony_added,63600
2018,Minnesota,colony_lost,50900
2018,Mississippi,colony_added,32340
2018,Mississippi,colony_lost,11900
2018,Missouri,colony_added,3630
2018,Missouri,colony_lost,3210
2018,Montana,colony_added,33040
2018,Montana,colony_lost,28940
2018,Nebraska,colony_added,18600
2018,Nebraska,colony_lost,14200
2018,New Jersey,colony_added,1660
2018,New Jersey,colony_lost,2620
2018,New Mexico,colony_added,4320
2018,New Mexico,colony_lost,8150
2018,New York,colony_added,13000
2018,New York,colony_lost,15300
2018,North Carolina,colony_added,8850
2018,North Carolina,colony_lost,10300
2018,North Dakota,colony_added,63100
2018,North Dakota,colony_lost,102200
2018,Ohio,colony_added,10770
2018,Ohio,colony_lost,8500
2018,Oklahoma,colony_added,9970
2018,Oklahoma,colony_lost,8170
2018,Oregon,colony_added,53500
2018,Oregon,colony_lost,33500
2018,Other States,colony_added,2540
2018,Other States,colony_lost,4170
2018,Pennsylvania,colony_added,10770
2018,Pennsylvania,colony_lost,7460
2018,South Carolina,colony_added,5740
2018,South Carolina,colony_lost,6000
2018,South Dakota,colony_added,31250
2018,South Dakota,colony_lost,55390
2018,Tennessee,colony_added,4370
2018,Tennessee,colony_lost,7000
2018,Texas,colony_added,236500
2018,Texas,colony_lost,77500
2018,United States,colony_added,1721790
2018,United States,colony_lost,1517070
2018,Utah,colony_added,11640
2018,Utah,colony_lost,10120
2018,Vermont,colony_added,3830
2018,Vermont,colony_lost,1350
2018,Virginia,colony_added,4020
2018,Virginia,colony_lost,4300
2018,Washington,colony_added,38500
2018,Washington,colony_lost,34100
2018,West Virginia,colony_added,2650
2018,West Virginia,colony_lost,4210
2018,Wisconsin,colony_added,19300
2018,Wisconsin,colony_lost,29100
2018,Wyoming,colony_added,5190
2018,Wyoming,colony_lost,9020
2019,Alabama,colony_added,1200
