year,CL,PR,N
1995,1,1,28
1995,1,2,2
1995,2,1,23
1995,2,2,10
1995,3,1,4
1995,3,2,9
1995,3,3,5
1995,3,4,6
1995,3,5,1
1995,4,2,5
1995,4,3,10
1995,4,4,13
1995,4,5,4
1995,4,6,1
1995,5,3,2
1995,5,4,6
1995,5,5,8
1995,5,6,9
1995,5,7,2
1995,6,5,2
1995,6,6,10
1995,6,7,9
1995,7,6,2
1995,7,7,18
1996,1,1,27
1996,1,2,2
1996,2,1,26
1996,2,2,8
1996,3,1,4
1996,3,2,11
1996,3,3,7
1996,3,4,6
1996,3,5,1
1996,4,2,7
1996,4,3,8
1996,4,4,11
1996,4,5,4
1996,4,6,1
1996,5,3,2
1996,5,4,7
1996,5,5,5
1996,5,6,10
1996,5,7,4
1996,6,5,2
1996,6,6,8
1996,6,7,10
1996,7,6,1
1996,7,7,17
1997,1,1,26
1997,1,2,2
1997,2,1,28
1997,2,2,7
1997,3,1,5
1997,3,2,11
1997,3,3,8
1997,3,4,4
1997,3,5,1
1997,4,2,5
1997,4,3,11
1997,4,4,8
1997,4,5,6
1997,4,6,3
1997,5,3,1
1997,5,4,6
1997,5,5,6
1997,5,6,8
1997,5,7,5
1997,6,5,2
1997,6,6,9
1997,6,7,10
1997,7,6,1
1997,7,7,16
1998,1,1,26
1998,1,2,2
1998,2,1,28
1998,2,2,7
1998,2,3,1
1998,3,1,5
1998,3,2,16
1998,3,3,6
1998,3,4,3
1998,3,5,1
1998,4,2,3
1998,4,3,10
1998,4,4,7
1998,4,5,7
1998,4,6,7
1998,5,3,2
1998,5,4,5
1998,5,5,7
1998,5,6,10
1998,5,7,5
1998,6,5,2
1998,6,6,7
1998,6,7,9
1998,7,7,13
1999,1,1,27
1999,1,2,2
1999,2,1,30
1999,2,2,7
1999,3,1,4
1999,3,2,13
1999,3,3,8
1999,3,4,3
1999,3,5,1
1999,4,2,2
1999,4,3,10
1999,4,4,10
1999,4,5,4
1999,4,6,3
1999,5,3,2
1999,5,4,5
1999,5,5,9
1999,5,6,15
1999,5,7,4
1999,6,4,1
1999,6,5,1
1999,6,6,8
1999,6,7,8
1999,7,7,13
2000,1,1,28
2000,1,2,2
2000,2,1,28
2000,2,2,10
2000,2,4,1
2000,3,1,5
2000,3,2,12
2000,3,3,6
2000,3,4,2
2000,3,5,1
2000,3,6,2
2000,4,2,2
2000,4,3,9
2000,4,4,11
2000,4,5,4
2000,4,6,2
2000,5,3,1
2000,5,4,6
2000,5,5,5
2000,5,6,20
2000,5,7,3
2000,6,5,2
2000,6,6,7
2000,6,7,9
2000,7,6,1
2000,7,7,11
2001,1,1,27
2001,1,2,2
2001,2,1,28
2001,2,2,8
2001,2,3,1
2001,2,4,1
2001,3,1,7
2001,3,2,11
2001,3,3,7
2001,3,4,3
2001,3,5,2
2001,4,2,2
2001,4,3,8
2001,4,4,10
2001,4,5,5
2001,4,6,1
2001,5,3,1
2001,5,4,6
2001,5,5,10
2001,5,6,17
2001,5,7,1
2001,6,6,14
2001,6,7,7
2001,7,6,1
2001,7,7,10
2002,1,1,34
2002,1,2,3
2002,2,1,25
2002,2,2,9
2002,2,3,1
2002,2,4,1
2002,3,1,1
2002,3,2,14
2002,3,3,10
2002,3,4,3
2002,3,5,1
2002,4,3,7
2002,4,4,15
2002,4,5,3
2002,4,6,2
2002,5,4,4
2002,5,5,7
2002,5,6,22
2002,5,7,1
2002,6,6,11
2002,6,7,6
2002,7,6,1
2002,7,7,9
2003,1,1,39
2003,1,2,2
2003,2,1,19
2003,2,2,14
2003,2,3,2
2003,2,4,1
2003,3,1,1
2003,3,2,10
2003,3,3,15
2003,3,4,3
2003,3,5,1
2003,4,3,6
2003,4,4,12
2003,4,5,7
2003,4,6,1
2003,5,4,1
2003,5,5,8
2003,5,6,20
2003,5,7,3
2003,6,6,11
2003,6,7,6
2003,7,6,1
2003,7,7,8
2004,1,1,46
2004,1,2,2
2004,2,1,12
2004,2,2,15
2004,2,3,2
2004,3,1,1
2004,3,2,10
2004,3,3,17
2004,3,4,5
2004,3,5,1
2004,4,3,5
2004,4,4,10
2004,4,5,9
2004,5,4,1
2004,5,5,6
2004,5,6,23
2004,5,7,2
2004,6,5,1
2004,6,6,5
2004,6,7,9
2004,7,6,1
2004,7,7,8
2005,1,1,50
2005,1,2,2
2005,2,1,10
2005,2,2,16
2005,2,3,3
2005,3,2,7
2005,3,3,21
2005,3,4,4
2005,3,5,2
2005,4,3,3
2005,4,4,9
2005,4,5,9
2005,4,6,2
2005,5,3,1
2005,5,4,1
2005,5,5,6
2005,5,6,21
2005,5,7,2
2005,6,6,5
2005,6,7,8
2005,7,6,1
2005,7,7,8
2006,1,1,49
2006,1,2,2
2006,2,1,10
2006,2,2,17
2006,2,3,2
2006,3,2,9
2006,3,3,17
2006,3,4,5
2006,3,5,2
2006,4,3,7
2006,4,4,7
2006,4,5,11
2006,4,6,2
2006,4,7,1
2006,5,4,2
2006,5,5,5
2006,5,6,20
2006,5,7,2
2006,6,5,1
2006,6,6,4
2006,6,7,9
2006,7,7,8
2007,1,1,48
2007,1,2,3
2007,2,1,10
2007,2,2,16
2007,2,3,2
2007,3,2,10
2007,3,3,14
2007,3,4,6
2007,3,5,2
2007,4,3,6
2007,4,4,10
2007,4,5,10
2007,4,6,3
2007,5,4,2
2007,5,5,7
2007,5,6,18
2007,5,7,4
2007,6,5,1
2007,6,6,3
2007,6,7,9
2007,7,7,8
2008,1,1,47
2008,1,2,3
2008,2,1,10
2008,2,2,17
2008,2,3,2
2008,3,2,9
2008,3,3,13
2008,3,4,8
2008,3,5,2
2008,4,3,6
2008,4,4,11
2008,4,5,8
2008,4,6,3
2008,5,4,4
2008,5,5,7
2008,5,6,16
2008,5,7,4
2008,6,5,1
2008,6,6,4
2008,6,7,9
2008,7,7,8
2009,1,1,47
2009,1,2,3
2009,2,1,11
2009,2,2,15
2009,2,3,4
2009,3,2,8
2009,3,3,10
2009,3,4,6
2009,3,5,3
2009,4,3,9
2009,4,4,10
2009,4,5,8
2009,4,6,3
2009,5,4,4
2009,5,5,4
2009,5,6,21
2009,5,7,3
2009,6,5,1
2009,6,6,5
2009,6,7,8
2009,7,7,9
2010,1,1,48
2010,1,2,1
2010,2,1,11
2010,2,2,16
2010,2,3,3
2010,3,2,7
2010,3,3,16
2010,3,4,6
2010,3,5,2
2010,4,3,8
2010,4,4,7
2010,4,5,7
2010,4,6,3
2010,5,4,4
2010,5,5,6
2010,5,6,20
2010,5,7,3
2010,6,5,1
2010,6,6,6
2010,6,7,8
2010,7,7,9
2011,1,1,48
2011,1,2,1
2011,2,1,10
2011,2,2,17
2011,2,3,3
2011,3,2,7
2011,3,3,15
2011,3,4,7
2011,3,5,1
2011,4,3,11
2011,4,4,7
2011,4,5,6
2011,4,6,3
2011,5,4,4
2011,5,5,5
2011,5,6,19
2011,5,7,2
2011,6,5,1
2011,6,6,10
2011,6,7,7
2011,7,7,9
2012,1,1,47
2012,1,2,2
2012,2,1,11
2012,2,2,17
2012,2,3,3
2012,3,2,9
2012,3,3,12
2012,3,4,4
2012,3,5,1
2012,4,3,11
2012,4,4,7
2012,4,5,8
2012,4,6,2
2012,5,4,4
2012,5,5,8
2012,5,6,17
2012,5,7,3
2012,6,6,13
2012,6,7,5
2012,7,7,9
2013,1,1,49
2013,1,2,1
2013,2,1,8
2013,2,2,20
2013,2,3,2
2013,3,2,7
2013,3,3,15
2013,3,4,4
2013,3,5,1
2013,4,2,1
2013,4,3,11
2013,4,4,9
2013,4,5,7
2013,4,6,2
2013,5,4,3
2013,5,5,5
2013,5,6,17
2013,5,7,2
2013,6,5,2
2013,6,6,12
2013,6,7,5
2013,7,7,10
2014,1,1,48
2014,1,2,1
2014,2,1,8
2014,2,2,21
2014,2,3,2
2014,3,1,1
2014,3,2,7
2014,3,3,14
2014,3,4,5
2014,3,6,1
2014,4,2,1
2014,4,3,11
2014,4,4,8
2014,4,5,5
2014,5,4,2
2014,5,5,7
2014,5,6,16
2014,5,7,2
2014,6,5,1
2014,6,6,15
2014,6,7,7
2014,7,7,10
2015,1,1,47
2015,1,2,2
2015,2,1,7
2015,2,2,21
2015,2,3,1
2015,3,1,1
2015,3,2,6
2015,3,3,18
2015,3,4,5
2015,4,2,1
2015,4,3,10
2015,4,4,10
2015,4,5,4
2015,5,4,3
2015,5,5,7
2015,5,6,15
2015,5,7,2
2015,6,5,1
2015,6,6,9
2015,6,7,13
2015,7,7,10
2016,1,1,45
2016,1,2,1
2016,1,3,1
2016,2,1,10
2016,2,2,18
2016,2,3,4
2016,3,1,1
2016,3,2,6
2016,3,3,17
2016,3,4,2
2016,4,2,1
2016,4,3,9
2016,4,4,12
2016,4,5,5
2016,5,3,1
2016,5,4,2
2016,5,5,9
2016,5,6,12
2016,5,7,4
2016,6,5,1
2016,6,6,7
2016,6,7,14
2016,7,7,11
2017,1,1,44
2017,1,2,2
2017,1,3,1
2017,2,1,8
2017,2,2,20
2017,2,3,4
2017,3,1,1
2017,3,2,7
2017,3,3,19
2017,3,4,2
2017,4,2,1
2017,4,3,5
2017,4,4,13
2017,4,5,3
2017,4,6,2
2017,5,3,1
2017,5,4,2
2017,5,5,9
2017,5,6,10
2017,5,7,4
2017,6,5,3
2017,6,6,6
2017,6,7,15
2017,7,7,11
2018,1,1,42
2018,1,2,3
2018,1,3,1
2018,2,1,10
2018,2,2,18
2018,2,3,2
2018,3,2,9
2018,3,3,17
2018,3,4,4
2018,4,2,1
2018,4,3,6
2018,4,4,13
2018,4,5,5
2018,5,3,1
2018,5,4,2
2018,5,5,9
2018,5,6,10
2018,5,7,5
2018,6,5,3
2018,6,6,5
2018,6,7,17
2018,7,7,10
2019,1,1,41
2019,1,2,3
2019,1,3,1
2019,2,1,10
2019,2,2,18
2019,2,3,1
2019,2,4,1
2019,3,2,8
2019,3,3,18
2019,3,4,3
2019,4,2,2
2019,4,3,5
2019,4,4,14
2019,4,5,5
2019,4,6,1
2019,5,4,2
2019,5,5,11
2019,5,6,7
2019,5,7,7
2019,6,5,4
2019,6,6,5
2019,6,7,17
2019,7,7,9
2020,1,1,41
2020,1,2,4
2020,1,3,1
2020,2,1,8
2020,2,2,19
2020,2,3,1
2020,2,4,1
2020,3,2,7
2020,3,3,16
2020,3,4,3
2020,4,2,4
2020,4,3,6
2020,4,4,11
2020,4,5,6
2020,5,4,3
2020,5,5,8
2020,5,6,10
2020,5,7,8
2020,6,5,4
2020,6,6,5
2020,6,7,18
2020,7,7,9
